Date,Total_Sales,Brent_Oil,RBI_Repo,CPI,Inflation,Urban CPI,Urban Inflation,Steel,Aluminium,FII,DII,NIFTY AUTO,NIFTY 50,USD_INR,Google Trends,TAMO Price
2018-01,246863,69.08,6,136.9,5.07,134.1,4.93,217.6,2209.73,41060.1,17184.4,11203.3,10330.2,65.07,19,398.27
2018-02,262123,65.32,6,136.4,4.44,134,4.52,222.1,2181.79,5108.4,42211.1,11157.2,10492.85,65.2,21,368.76
2018-03,257477,66.02,6,136.5,4.28,134,4.12,227.5,2069.24,13830.1,45709.8,10821.35,10113.7,65.11,19,325.85
2018-04,254954,72.11,6,137.1,4.58,134.8,4.42,234.1,2254.69,15287.6,34337.9,11625.75,10739.35,66.45,19,339.35
2018-05,245377,76.98,6,137.8,4.87,135.4,4.72,239,2299.67,-9644.7,-3230.2,10994.45,10736.15,67.42,22,281.63
2018-06,219315,74.41,6.25,138.5,4.92,136.2,4.85,242.5,2237.62,7026.3,49052.9,10709.05,10714.3,68.45,24,268.47
2018-07,238636,74.25,6.25,139.8,4.17,137.5,4.32,244.3,2082.24,26258.6,-7074.4,10973.75,11356.5,68.45,24,263.29
2018-08,233296,72.53,6.5,140.4,3.69,138,3.99,244.8,2051.51,5351.7,36564,11009.25,11680.5,71,23,266.68
2018-09,262820,78.89,6.5,140.2,3.7,138.1,4.31,244.7,2026.46,-12900.7,24611,9590.25,10930.45,72.5,20,223.01
2018-10,295106,81.03,6.5,140.7,3.38,138.9,4.04,244.1,2029.86,-16572.5,54986.1,8820.55,10386.6,73.95,28,178.55
2018-11,325595,64.75,6.5,140.8,2.33,139,3.12,246.7,1938.51,37392.6,55716.8,9270.2,10876.75,69.64,23,171.42
2018-12,268643,57.36,6.5,140.1,2.11,138,2.91,245.8,1920.38,25120.1,63229.4,9235.55,10862.55,69.56,21,172.17
2019-01,253347,59.41,6.5,139.6,1.97,138,2.91,240.4,1853.72,10268.9,50231.6,8218.4,10830.95,70.95,21,180.64
2019-02,253378,63.96,6.25,139.9,2.57,138.6,3.43,235.7,1862.99,23646.8,28406.8,8355.15,10792.5,70.83,26,176.9
2019-03,254249,66.14,6.25,140.4,2.86,139.5,4.1,238.6,1871.21,66178.1,62354.4,8335.35,11623.9,69.18,20,173.71
2019-04,258264,71.23,6,141.2,2.99,140.6,4.3,234,1845.42,36150.5,40010.5,8350.6,11748.15,69.636,26,213.64
2019-05,264938,71.32,6,142,3.05,141.5,4.51,229.8,1781.26,20841.6,37190.2,8175.5,11922.8,69.57,25,172.07
2019-06,237010,64.22,5.75,142.9,3.18,142.1,4.33,222.5,1755.95,34993.7,43171.2,7928.05,11788.85,68.94,19,162.05
2019-07,234417,63.92,5.75,144.2,3.15,143.3,4.22,216.9,1796.99,5553.4,66696.5,6851.65,11118,68.86,22,135.18
2019-08,242885,59.04,5.4,145,3.28,144.2,4.49,217.8,1740.68,13819.1,63786.4,7009.3,11023.25,71.451,23,116.34
2019-09,258108,62.83,5.4,145.8,3.99,144.7,4.78,212.3,1753.51,35882.2,36795.2,7493.15,11474.45,70.64,24,117.09
2019-10,315665,59.71,5.15,147.2,4.62,146,5.11,206.4,1725.96,53247.5,45760.6,8449.5,11877.45,70.978,25,177.15
2019-11,319099,63.21,5.15,148.6,5.54,147,5.76,205.1,1774.79,42332.2,31526.3,8086,12056.05,71.746,22,161
2019-12,269212,67.31,5.15,150.4,7.35,148.3,7.46,207.3,1771.38,19438,41704.5,8248.3,12168.45,71.35,22,184.58
2020-01,279021,63.65,5.15,150.2,7.59,148.2,7.39,212.1,1773.09,8137.6,34981.2,8086.55,11962.1,71.54,26,176.06
2020-02,263999,55.66,5.15,149.1,6.58,147.7,6.57,209.1,1688.1,23913.1,25282.2,6903.95,11201.75,72.534,26,128.55
2020-03,273453,32.01,4,148.6,5.84,147.3,5.59,210.6,1610.89,-82399.3,19878.7,4731.3,8597.75,75.333,37,70.83
2020-04,179132,18.38,4,151.4,7.22,150.9,7.33,204.7,1459.93,-7174.2,-19358.2,5901.4,9859.9,75.077,35,92.96
2020-05,110137,29.38,4,150.9,6.27,150.6,6.43,203.5,1466.37,-2358,13088,6218.8,9580.3,75.59,37,86.73
