Date,Price,Open,High,Low,Vol
19-01-2018,418.05,415.2,421.95,415.05,3.89
22-01-2018,421.9,419.05,424.4,418.45,4.64
23-01-2018,418,422.8,422.8,414.75,6.19
24-01-2018,403.6,416,416.25,402.65,10.79
25-01-2018,400.3,403.45,407.65,398,16.31
29-01-2018,399.25,402.5,405.9,398.1,5.79
30-01-2018,395.85,400,402.3,395,6.96
31-01-2018,399.5,395.5,400.95,395.25,5.11
01-02-2018,393.65,399.9,403.8,390.55,7.26
02-02-2018,383.75,392,397.4,381.3,10.07
05-02-2018,395.8,381,398,380,9.88
06-02-2018,375.45,363,379.85,356.5,25.29
07-02-2018,377.8,380.4,385.4,375.2,12.71
08-02-2018,374.85,379.9,380,372.2,12.45
09-02-2018,368.75,369.9,373.2,368,8.82
12-02-2018,371.8,373.4,376.2,370.2,6
14-02-2018,376.85,372.9,382.3,370.6,9.62
15-02-2018,375.8,379.8,382.2,373.1,10.23
16-02-2018,370.75,378,379.4,367.6,8.55
19-02-2018,368.75,373.7,374.7,362.8,5.66
20-02-2018,369.3,370.35,370.9,366.5,3.97
21-02-2018,364.45,372.5,372.5,362.85,8.64
22-02-2018,358.5,363,363,357.5,10.87
23-02-2018,360.2,360.1,364.6,358.75,6.75
26-02-2018,372.05,362,373.5,362,10.58
27-02-2018,372.55,375,376.6,370.35,6.16
28-02-2018,369.9,370,373.65,367.15,8.01
01-03-2018,370.75,369.75,376.3,369.05,6.99
05-03-2018,352.05,368.75,368.75,350.1,14.67
06-03-2018,346.5,355.15,357.95,345,8.88
07-03-2018,347.8,345,355.3,343.25,15.6
08-03-2018,345.15,350.8,351.9,341.05,7.67
09-03-2018,341.5,345.55,348.7,340.15,5.52
12-03-2018,352.6,345,353.8,340.35,8.24
13-03-2018,353.15,352.6,356.45,350,6.18
14-03-2018,354.05,351,354.9,349.6,3.82
15-03-2018,353.1,354.05,358.4,351.1,4.33
16-03-2018,339.75,352.05,352.6,338.4,14.21
19-03-2018,335.7,341.2,342.1,332.55,9.39
20-03-2018,338.8,335.5,340.4,333.55,5.08
21-03-2018,333.85,339.9,342.25,332.25,6.81
22-03-2018,338.2,338.5,340.25,334.8,9.26
23-03-2018,330.85,330,334.8,329.6,8.58
26-03-2018,332.35,328.8,333.9,324.3,8.91
27-03-2018,331.15,333.95,335.8,330.1,6.82
