Date,Profit
31-03-2018,-499.94
30-06-2018,1187.65
30-09-2018,109.14
31-12-2018,617.62
31-03-2019,106.19
30-06-2019,-97.1
30-09-2019,-1281.97
31-12-2019,-1039.51
31-03-2020,-4871.05
30-06-2020,-2190.64
30-09-2020,-1212.45
31-12-2020,-638.04
31-03-2021,1645.69
30-06-2021,-1320.74
30-09-2021,-659.33
31-12-2021,175.85
31-03-2022,413.35
30-06-2022,-181.03
30-09-2022,-292.59
31-12-2022,506.19
31-03-2023,2695.56
30-06-2023,-64.04
30-09-2023,1269.64
31-12-2023,4570.05
31-03-2024,2126.40
30-06-2024,2190.00
30-09-2024,477
31-12-2024,1404.00
